name,lon,lat,local_measurement_dBm,path_loss_dB
RX_485,-0.080525,52.809262,-105.87,175.87
RX_486,-0.080479,52.80925,-105.73,175.73000000000002
RX_487,-0.080433,52.809239,-105.58,175.57999999999998
RX_488,-0.080388,52.809227,-106.24,176.24
RX_489,-0.080365,52.809222,-104.73,174.73000000000002
RX_490,-0.080331,52.809212,-105.03,175.03
RX_491,-0.080284,52.809199,-105.56,175.56
RX_492,-0.080238,52.809186,-105.61,175.61
RX_493,-0.080192,52.809173,-105.62,175.62
RX_494,-0.080147,52.809161,-105.75,175.75
RX_495,-0.080133,52.809157,-104.98,174.98000000000002
RX_496,-0.080091,52.809143,-105.95,175.95
RX_497,-0.080043,52.809128,-105.63,175.63
RX_498,-0.079994,52.809112,-105.55,175.55
RX_499,-0.079944,52.809096,-103.95,173.95
RX_500,-0.079895,52.80908,-104.01,174.01
RX_501,-0.079887,52.809078,-103.81,173.81
RX_502,-0.079836,52.809061,-105.03,175.03
RX_503,-0.079786,52.809044,-104.97,174.97
RX_504,-0.079735,52.809027,-104.99,174.99
RX_505,-0.079684,52.80901,-103.63,173.63
RX_506,-0.079635,52.808993,-103.21,173.20999999999998
RX_507,-0.079624,52.808989,-102.7,172.7
RX_508,-0.079575,52.808973,-101.28,171.28
RX_509,-0.079527,52.808956,-101.7,171.7
RX_510,-0.079478,52.808939,-98.36,168.36
RX_511,-0.07943,52.808923,-97.78,167.78
RX_512,-0.079382,52.808907,-98.67,168.67000000000002
RX_513,-0.079373,52.808904,-102.22,172.22
RX_514,-0.079325,52.808886,-100.57,170.57
RX_515,-0.079276,52.808868,-100.11,170.11
RX_516,-0.079228,52.808851,-100.45,170.45
RX_517,-0.07918,52.808834,-102.09,172.09
RX_518,-0.079133,52.808817,-100.13,170.13
RX_519,-0.079126,52.808814,-99.1,169.1
RX_520,-0.07908,52.808796,-102.01,172.01
RX_521,-0.079034,52.808779,-101.8,171.8
RX_522,-0.078988,52.808762,-101.55,171.55
RX_523,-0.078943,52.808745,-98.7,168.7
RX_524,-0.078895,52.808727,-100.72,170.72
RX_525,-0.078882,52.808722,-101.53,171.53
RX_526,-0.078842,52.808707,-100.14,170.14
RX_527,-0.078796,52.808689,-99.66,169.66
RX_528,-0.078749,52.808671,-99.31,169.31
RX_529,-0.078702,52.808653,-100.77,170.76999999999998
RX_530,-0.078654,52.808635,-100.52,170.51999999999998
RX_531,-0.078627,52.808625,-101.37,171.37
RX_532,-0.078599,52.808614,-101.16,171.16
RX_533,-0.07855,52.808596,-100.62,170.62
