meas_lon,meas_lat,meas_pl_db,matched_rx_name,match_distance_m
-0.0576,51.5495,169.12,RX_3844,0.00016714856472048564
-0.0576,51.5495,169.57999999999998,RX_3844,0.00016714856472048564
-0.0576,51.5495,170.26,RX_3844,0.00016714856472048564
-0.0577,51.5495,169.21,RX_3845,9.399650707697199e-05
-0.0578,51.5495,170.2,RX_3846,1.6564061172043037e-05
-0.0578,51.5495,171.09,RX_3846,1.6564061172043037e-05
-0.0578,51.5495,170.3,RX_3846,1.6564061172043037e-05
-0.0579,51.5495,170.63,RX_3849,6.766739789313755e-05
-0.0579,51.5495,170.2,RX_3849,6.766739789313755e-05
-0.058,51.5495,169.95,RX_3852,0.0001568892082695299
-0.058,51.5495,168.42000000000002,RX_3852,0.0001568892082695299
-0.0581,51.5495,170.75,RX_3853,0.00021090045586571695
-0.0581,51.5495,169.42000000000002,RX_3853,0.00021090045586571695
-0.0582,51.5495,171.13,RX_3856,0.0001290056079456812
-0.0582,51.5495,170.88,RX_3856,0.0001290056079456812
-0.0583,51.5495,171.22,RX_3857,0.0001134131909033222
-0.0584,51.5495,170.43,RX_3859,5.2849223318591336e-05
-0.0584,51.5495,171.01,RX_3859,5.2849223318591336e-05
-0.0585,51.5495,171.76999999999998,RX_3861,9.524908167979037e-05
-0.0585,51.5495,170.69,RX_3861,9.524908167979037e-05
-0.0586,51.5495,171.17000000000002,RX_3863,0.0001665193033157352
-0.0586,51.5495,170.29000000000002,RX_3863,0.0001665193033157352
-0.0587,51.5495,170.43,RX_3864,0.00018473816266442869
-0.0587,51.5495,170.2,RX_3864,0.00018473816266442869
-0.0588,51.5495,168.97,RX_3868,0.00011300816901801424
-0.0588,51.5495,171.32,RX_3868,0.00011300816901801424
-0.0588,51.5495,170.87,RX_3868,0.00011300816901801424
-0.0589,51.5495,170.39,RX_3869,0.00010294426386650775
-0.0589,51.5495,170.01999999999998,RX_3869,0.00010294426386650775
-0.059,51.5495,170.57999999999998,RX_3871,3.8046639881587876e-05
-0.059,51.5495,170.01999999999998,RX_3871,3.8046639881587876e-05
-0.0591,51.5495,170.05,RX_3873,0.00013212926464258468
-0.0592,51.5495,171.28,RX_3874,0.0002034547127784361
-0.0592,51.5495,172.01,RX_3874,0.0002034547127784361
-0.0592,51.5495,171.98000000000002,RX_3874,0.0002034547127784361
-0.0592,51.5495,170.17000000000002,RX_3874,0.0002034547127784361
-0.0593,51.5495,172.5,RX_3878,0.00014918606468471504
-0.0593,51.5495,170.12,RX_3878,0.00014918606468471504
-0.0593,51.5495,170.62,RX_3878,0.00014918606468471504
-0.0594,51.5495,172.28,RX_3882,6.97125999462911e-05
-0.0594,51.5495,171.17000000000002,RX_3882,6.97125999462911e-05
-0.0595,51.5495,168.57,RX_3885,4.843518115777049e-05
-0.0595,51.5495,167.17000000000002,RX_3885,4.843518115777049e-05
-0.0595,51.5495,166.69,RX_3885,4.843518115777049e-05
-0.0596,51.5495,169.62,RX_3886,0.00011094845925139926
-0.0596,51.5495,168.65,RX_3886,0.00011094845925139926
-0.0597,51.5495,170.38,RX_3888,0.00018134845499924966
-0.0597,51.5495,170.0,RX_3888,0.00018134845499924966
-0.0598,51.5495,168.93,RX_3229,0.00020382444634665223
-0.0598,51.5495,169.25,RX_3229,0.00020382444634665223
-0.0598,51.5495,169.63,RX_3229,0.00020382444634665223
-0.0599,51.5495,170.28,RX_3894,0.00015168408372571415
-0.0599,51.5495,170.26999999999998,RX_3894,0.00015168408372571415
-0.06,51.5495,172.57,RX_3895,0.00011341488773081759
-0.06,51.5495,172.09,RX_3895,0.00011341488773081759
-0.0601,51.5495,172.79000000000002,RX_3897,0.00010683395646707592
-0.0601,51.5495,172.94,RX_3897,0.00010683395646707592
-0.0602,51.5495,172.5,RX_3899,0.00013966624334652242
-0.0602,51.5495,167.72,RX_3899,0.00013966624334652242
-0.0603,51.5495,172.61,RX_3901,0.00019629189294196415
-0.0603,51.5495,172.71,RX_3901,0.00019629189294196415
-0.0603,51.5495,173.44,RX_3901,0.00019629189294196415
-0.0604,51.5495,173.32999999999998,RX_3904,0.00012678804106747328
-0.0604,51.5495,173.13,RX_3904,0.00012678804106747328
-0.0605,51.5495,172.11,RX_3906,8.407660776516694e-05
-0.0605,51.5495,172.74,RX_3906,8.407660776516694e-05
-0.0606,51.5496,173.23000000000002,RX_3909,0.00014740609342386133
-0.0606,51.5496,171.99,RX_3909,0.00014740609342386133
-0.0607,51.5496,170.94,RX_3911,0.00020374675989069836
-0.0607,51.5496,171.94,RX_3911,0.00020374675989069836
-0.0607,51.5496,171.79000000000002,RX_3911,0.00020374675989069836
-0.0608,51.5496,172.43,RX_3913,0.00016349904070535383
-0.0608,51.5496,173.65,RX_3913,0.00016349904070535383
-0.0609,51.5496,173.46,RX_3915,0.00014256429543827681
-0.0609,51.5496,173.69,RX_3915,0.00014256429543827681
-0.061,51.5496,174.71,RX_3917,8.524478767134134e-05
-0.061,51.5496,174.48000000000002,RX_3917,8.524478767134134e-05
-0.0611,51.5496,174.39,RX_3921,5.267307391837576e-05
-0.0611,51.5496,174.32999999999998,RX_3921,5.267307391837576e-05
-0.0611,51.5496,174.31,RX_3921,5.267307391837576e-05
